item_id	i_genre_c	i_title_c
1	145	2882
2	115	1504
3	206	1216
4	185	2986
5	176	960
6	63	1278
7	206	2448
8	106	2862
9	1	2714
10	37	1163
11	187	123
12	195	821
13	144	238
14	238	2021
15	29	690
16	259	511
17	251	2491
18	295	1040
19	176	39
20	1	1862
21	47	1114
22	224	640
23	295	191
24	257	2241
25	251	1609
26	238	2098
27	238	2040
28	287	2165
29	138	580
30	238	2524
31	238	708
32	257	2915
33	161	212
34	251	509
35	238	728
36	234	41
37	176	1457
38	206	601
39	238	681
40	261	2372
41	57	732
42	238	2360
43	2	1874
44	185	2854
45	251	1365
46	233	2497
47	153	2208
48	251	3034
49	233	2955
50	176	1824
51	238	1582
52	160	329
53	238	1107
54	238	1333
55	251	2238
56	115	1427
57	259	918
58	238	1883
59	176	802
60	206	2928
61	176	342
62	292	1603
63	206	1057
64	176	1061
65	46	1075
66	1	931
67	185	1528
68	245	1850
69	251	280
70	292	2478
71	234	1994
72	238	671
73	259	1513
74	238	3044
75	221	2807
76	238	161
77	238	2072
78	185	1597
79	251	151
80	126	3049
81	160	845
82	176	356
83	92	1993
84	259	1767
85	206	2958
86	238	275
87	92	459
88	176	1415
89	238	1264
90	234	1287
91	259	575
92	176	414
93	176	1892
94	295	2942
95	176	1251
96	251	450
97	185	2026
98	111	1912
99	73	433
100	259	2771
101	16	2432
102	247	286
103	234	157
104	215	3120
105	206	1403
106	238	424
107	206	408
108	248	563
109	238	2657
110	176	1010
111	115	1981
112	234	1511
113	206	2188
114	295	1468
115	176	813
116	234	1079
117	251	2949
118	176	344
119	176	465
120	1	227
121	106	111
122	238	256
123	238	208
124	224	110
125	238	168
126	254	2386
127	271	46
128	10	261
129	238	294
130	261	317
131	176	390
132	213	494
133	106	512
134	238	595
135	28	626
136	260	663
137	234	678
138	84	761
139	227	770
140	92	780
141	185	804
142	20	990
143	112	1051
144	63	1228
145	176	1480
146	87	1493
147	33	1499
148	176	1514
149	238	1533
150	176	1656
151	271	1671
152	176	1685
153	176	1730
154	41	1828
155	251	1870
156	295	1924
157	238	1959
158	292	1976
159	176	2017
160	176	2136
161	271	2275
162	176	2335
163	295	2449
164	238	2468
165	238	2539
166	238	2581
167	187	2606
168	275	2631
169	238	2675
170	62	2699
171	245	2934
172	238	2828
173	251	2873
174	176	2859
175	1	2937
176	185	2945
177	234	2948
178	251	2989
179	2	3006
180	238	3046
181	297	3061
182	238	466
183	238	478
184	238	287
185	251	285
186	176	340
187	259	218
188	185	425
189	238	687
190	251	570
191	176	592
192	187	801
193	259	788
194	1	833
195	259	743
196	259	800
197	176	842
198	185	857
199	238	914
200	176	910
201	185	859
202	206	1056
203	206	1037
204	106	945
205	148	1177
206	295	1307
207	167	1013
208	245	952
209	234	1342
210	240	1283
211	176	1360
212	251	1407
213	160	1286
214	1	1376
215	206	1397
216	243	1441
217	238	1479
218	176	1484
219	210	1510
220	286	1515
221	109	1529
222	224	1557
223	24	2669
224	238	1651
225	167	1645
226	238	1579
227	251	1632
228	255	1612
229	176	1726
230	238	1644
231	238	1933
232	251	1687
233	238	1677
234	238	1720
235	243	1768
236	176	1852
237	206	1832
238	238	1839
239	176	1813
240	238	1936
241	259	1916
242	238	2027
243	238	1974
244	216	1984
245	92	1968
246	206	2084
247	216	2073
248	295	2212
249	71	2107
250	222	2270
251	206	2157
252	206	2292
253	216	2281
254	238	2123
255	176	2290
256	238	2253
257	238	2302
258	251	2186
259	251	2295
260	39	2300
261	185	2417
262	176	2328
263	238	2822
264	238	2821
265	238	2823
266	238	2338
267	176	2710
268	144	2738
269	238	2488
270	1	2630
271	33	2673
272	162	2459
273	238	2525
274	295	2520
275	270	2736
276	238	2702
277	185	2743
278	176	2720
279	176	1966
280	238	2857
281	50	2764
282	271	2754
283	33	2664
284	195	2757
285	238	2860
286	275	2975
287	176	2865
288	238	2961
289	286	2941
290	261	2993
291	238	3029
292	292	2978
293	206	3042
294	126	3000
295	238	807
296	206	1919
297	159	216
298	176	38
299	185	52
300	245	225
301	238	347
302	176	475
303	37	590
304	250	593
305	187	641
306	176	668
307	84	673
308	238	602
309	160	1007
310	209	1038
311	206	1041
312	238	1314
313	187	1386
314	43	1387
315	251	1455
316	118	1507
317	234	3094
318	152	1637
319	238	1640
320	271	3019
321	180	1770
322	55	1779
323	238	1897
324	176	1962
325	185	2125
326	185	2331
327	295	2339
328	160	2373
329	238	2451
330	92	2380
331	84	2634
332	206	2633
333	86	2843
334	13	2904
335	238	3036
336	243	3087
337	297	3104
338	1	228
339	238	2443
340	43	1705
341	238	421
342	254	608
343	47	955
344	216	1473
345	106	2484
346	1	2703
347	1	607
348	86	1316
349	238	967
350	277	1419
351	238	28
352	238	34
353	176	43
354	238	63
355	176	72
356	176	71
357	212	160
358	297	229
359	206	250
360	238	288
361	176	313
362	43	314
363	106	349
364	295	369
365	92	380
366	238	383
367	251	387
368	276	399
369	283	418
370	238	462
371	176	489
372	216	504
373	214	577
374	176	588
375	16	594
376	210	624
377	259	611
378	43	648
379	206	716
380	176	724
381	86	756
382	234	881
383	206	898
384	176	958
385	251	949
386	238	966
387	176	965
388	185	3082
389	248	1003
390	238	3058
391	176	1025
392	259	987
393	112	1050
394	238	1060
395	92	1080
396	262	1109
397	1	1116
398	251	1143
399	2	1169
400	224	1219
401	18	1257
402	73	1280
403	54	1348
404	176	1653
405	206	886
406	251	1357
407	206	1371
408	185	1394
409	213	1414
410	92	1418
411	238	1420
412	185	1433
413	238	3030
414	1	1500
415	33	1512
416	259	1517
417	295	1540
418	238	1554
419	106	1587
420	43	1588
421	176	1626
422	214	1631
423	238	1710
424	176	1718
425	295	1729
426	238	1738
427	202	1749
428	57	1802
429	92	909
430	238	1421
431	187	3026
432	206	1899
433	251	1885
434	206	1891
435	176	1895
436	238	1960
437	41	1989
438	238	1983
439	86	2022
440	176	2029
441	238	2094
442	64	2162
443	238	2180
444	251	2183
445	238	2209
446	64	2271
447	275	2387
448	203	2304
449	176	2344
450	238	2347
451	190	2349
452	66	2377
453	176	2384
454	292	2393
455	176	2389
456	233	2409
457	64	2412
458	238	2427
459	238	2428
460	238	2452
461	261	2471
462	238	2474
463	238	2483
464	167	2486
465	181	2493
466	1	2507
467	251	2508
468	238	2537
469	238	2546
470	185	2554
471	238	2558
472	206	2568
473	295	2575
474	268	361
475	176	2609
476	208	2589
477	1	2706
478	8	2724
479	37	2734
480	1	2780
481	234	2812
482	206	2830
483	163	2006
484	9	2826
485	297	2863
486	295	2893
487	61	2905
488	234	2997
489	4	2114
490	238	270
491	295	1536
492	185	3018
493	238	1108
494	176	541
495	271	667
496	238	1535
497	185	320
498	160	1638
499	185	2573
500	238	3013
501	238	565
502	185	2627
503	160	1647
504	106	145
505	238	2260
506	234	526
507	185	735
508	176	427
509	160	1329
510	208	1117
511	146	79
512	87	2781
513	130	704
514	17	260
515	259	2542
516	152	2587
517	152	278
518	144	2192
519	206	2249
520	176	3071
521	297	3062
522	295	1699
523	234	1196
524	176	486
525	251	2076
526	271	498
527	224	951
528	106	1335
529	5	1285
530	76	1293
531	176	2119
532	251	1472
533	238	435
534	144	177
535	238	1011
536	176	858
537	238	1938
538	259	1598
539	259	2254
540	152	96
541	296	1585
542	176	757
543	185	937
544	176	2505
545	287	1463
546	176	1130
547	259	774
548	238	1975
549	261	646
550	27	1847
551	185	606
552	238	1857
553	23	822
554	176	861
555	233	2288
556	152	1471
557	295	963
558	176	1534
559	296	2940
560	1	378
561	238	2141
562	238	165
563	238	3100
564	210	1954
565	98	2624
566	138	249
567	259	2599
568	291	107
569	215	589
570	238	1458
571	15	2088
572	206	1898
573	87	2598
574	1	2713
575	286	2901
576	251	968
577	176	153
578	238	929
579	2	2299
580	176	643
581	228	1901
582	206	2908
583	144	2058
584	176	527
585	106	1008
586	297	727
587	238	1346
588	215	2748
589	210	2980
590	176	1902
591	143	2995
592	234	1266
593	243	651
594	176	1205
595	176	605
596	286	1282
597	37	2394
598	195	529
599	31	2921
600	86	248
601	158	1121
602	277	2808
603	176	2644
604	155	599
605	264	1033
606	176	2711
607	87	183
608	294	818
609	176	503
610	185	1866
611	106	1157
612	167	1543
613	234	1783
614	296	2650
615	96	2177
616	177	2708
617	251	1284
618	185	1461
619	238	1390
620	238	1190
621	234	1760
622	185	2972
623	238	2886
624	251	3
625	90	1425
626	238	2679
627	295	938
628	152	1373
629	176	490
630	176	1555
631	92	888
632	194	2045
633	37	720
634	195	1074
635	247	1664
636	160	1261
637	251	2179
638	287	2994
639	206	2529
640	238	2842
641	238	113
642	206	2350
643	106	81
644	2	1002
645	176	316
646	176	1586
647	176	2968
648	238	1523
649	106	51
650	200	1492
651	176	991
652	238	2693
653	259	2319
654	176	1313
655	238	1043
656	37	532
657	160	1775
658	187	873
659	92	674
660	176	1351
661	271	921
662	271	2755
663	238	1009
664	238	2640
665	34	891
666	216	692
667	238	257
668	206	2844
669	238	235
670	57	1146
671	176	1784
672	92	2725
673	238	1750
674	176	524
675	185	3059
676	222	415
677	215	1519
678	176	1165
679	238	2037
680	1	2222
681	238	1134
682	271	2346
683	292	1450
684	160	989
685	259	2896
686	168	401
687	1	474
688	144	1583
689	277	1237
690	187	2913
691	238	1879
692	238	3064
693	141	1027
694	206	2181
695	279	2550
696	279	129
697	200	1087
698	251	439
699	286	2966
700	286	2332
701	176	1456
702	286	1098
703	201	1101
704	259	2031
705	185	166
706	177	2601
707	204	537
708	254	510
709	265	1731
710	279	1935
711	206	2447
712	206	2406
713	167	1646
714	278	1794
715	113	3086
716	254	1167
717	176	1939
718	264	2722
719	238	572
720	249	16
721	136	1161
722	238	93
723	176	3092
724	288	2333
725	295	1035
726	267	2038
727	283	2636
728	287	57
729	208	2853
730	176	959
731	200	243
732	206	2019
733	206	1700
734	278	1127
735	2	53
736	96	1758
737	226	1601
738	251	1119
739	238	1681
740	201	2868
741	190	2852
742	176	1947
743	238	1126
744	238	853
745	282	2802
746	176	1319
747	120	182
748	238	1459
749	238	1890
750	176	455
751	251	2155
752	238	2467
753	202	1578
754	238	2051
755	216	149
756	238	1641
757	216	2797
758	278	1438
759	297	148
760	295	19
761	238	2990
762	297	2109
763	275	2002
764	32	59
765	185	272
766	238	517
767	238	1793
768	251	83
769	289	950
770	238	382
771	238	2184
772	185	2228
773	106	1014
774	251	370
775	185	1183
776	37	1782
777	261	1815
778	238	334
779	74	1593
780	259	520
781	56	2496
782	215	12
783	215	686
784	176	860
785	259	916
786	92	1139
787	160	696
788	238	533
789	166	171
790	297	717
791	115	894
792	160	1688
793	107	1301
794	167	2057
795	167	2131
796	161	2224
797	106	1336
798	160	2515
799	106	2746
800	164	2789
801	116	14
802	176	638
803	160	152
804	152	568
805	144	3076
806	152	2820
807	144	2749
808	167	2588
809	238	2390
810	163	1766
811	152	843
812	101	2169
813	117	281
814	152	85
815	144	1042
816	215	1054
817	278	2618
818	92	778
819	87	1604
820	238	2489
821	176	2792
822	251	2855
823	238	2733
824	251	277
825	92	1667
826	2	1120
827	235	1670
828	238	2890
829	216	2028
830	238	1115
831	238	1498
832	201	903
833	238	348
834	251	3068
835	185	2745
836	216	2566
837	238	1494
838	145	80
839	201	2518
840	201	700
841	225	670
842	270	1918
843	108	3070
844	295	1434
845	210	2565
846	213	242
847	176	992
848	176	1868
849	200	2971
850	238	495
851	200	1203
852	216	406
853	126	2056
854	286	775
855	278	1716
856	279	785
857	233	2359
858	261	2200
859	176	3015
860	286	255
861	245	805
862	254	682
863	238	1138
864	238	2615
865	169	848
866	238	559
867	82	722
868	82	2867
869	238	2334
870	238	2704
871	271	552
872	234	1817
873	64	2122
874	176	194
875	238	1084
876	238	2551
877	238	868
878	238	837
879	238	2156
880	234	2159
881	238	2064
882	176	2366
883	192	831
884	34	37
885	271	1019
886	34	892
887	271	1369
888	238	1478
889	238	1751
890	176	2263
891	176	1867
892	234	698
893	234	1636
894	234	3035
895	154	3102
896	238	2364
897	155	962
898	228	1270
899	264	2323
900	264	2750
901	238	2845
902	176	2431
903	238	1835
904	176	736
905	234	114
906	176	394
907	187	569
908	238	634
909	210	754
910	238	810
911	238	876
912	261	2142
913	217	1212
914	176	1273
915	254	885
916	213	1791
917	238	1942
918	238	2504
919	238	2137
920	206	2705
921	234	2801
922	238	2835
923	234	1721
924	234	2134
925	238	2077
926	176	2951
927	21	2670
928	13	2259
929	2	2307
930	291	434
931	88	90
932	95	1173
933	176	3083
934	238	9
935	141	1605
936	40	2887
937	291	597
938	238	2856
939	261	167
940	297	2071
941	30	2671
942	187	3074
943	286	2809
944	216	1174
945	77	86
946	12	181
947	136	324
948	261	2317
949	92	1538
950	277	2276
951	49	392
952	57	1147
953	73	1081
954	154	1186
955	261	1296
956	238	109
957	206	2301
958	224	2070
959	238	2306
960	206	158
961	238	2376
962	284	2651
963	73	393
964	177	2691
965	176	1260
966	185	2907
967	238	2502
968	176	1658
969	87	2782
970	195	429
971	73	1140
972	185	2421
973	187	1748
974	238	1833
975	238	731
976	251	1184
977	228	2876
978	295	2014
979	261	449
980	238	25
981	266	556
982	257	719
983	96	2889
984	195	232
985	213	838
986	176	311
987	271	2534
988	121	2653
989	228	1708
990	11	905
991	141	1198
992	261	752
993	67	791
994	206	1215
995	297	2943
996	270	1747
997	238	2282
998	205	184
999	210	222
1000	238	1070
1001	261	2145
1002	185	814
1003	105	78
1004	2	1315
1005	185	637
1006	68	693
1007	195	3117
1008	185	2003
1009	238	2311
1010	176	1197
1011	152	941
1012	297	1311
1013	265	336
1014	176	1279
1015	251	2607
1016	19	296
1017	186	2814
1018	237	1564
1019	251	2600
1020	2	1428
1021	176	290
1022	238	1095
1023	213	1709
1024	238	2935
1025	251	2416
1026	176	2330
1027	246	2191
1028	261	1539
1029	238	1945
1030	291	1031
1031	238	973
1032	96	1737
1033	55	482
1034	238	2135
1035	257	2946
1036	206	3033
1037	234	1381
1038	238	970
1039	176	1395
1040	77	91
1041	271	127
1042	271	132
1043	271	131
1044	271	374
1045	195	173
1046	271	199
1047	277	291
1048	271	345
1049	275	371
1050	271	396
1051	271	398
1052	274	430
1053	271	445
1054	271	479
1055	271	497
1056	295	500
1057	270	499
1058	271	508
1059	271	515
1060	271	2011
1061	271	2032
1062	271	2033
1063	271	2062
1064	238	372
1065	233	82
1066	206	1840
1067	238	442
1068	277	2013
1069	33	2663
1070	251	2533
1071	259	2572
1072	107	1489
1073	234	2128
1074	238	1097
1075	238	2244
1076	238	2375
1077	238	675
1078	160	8
1079	92	779
1080	33	2666
1081	33	2662
1082	33	2661
1083	33	2667
1084	33	2659
1085	33	2660
1086	10	262
1087	55	3118
1088	55	3119
1089	201	1193
1090	201	1194
1091	64	1759
1092	1	2936
1093	75	1475
1094	75	1476
1095	75	1477
1096	176	1940
1097	53	1763
1098	185	573
1099	251	1485
1100	176	2314
1101	185	2846
1102	223	2584
1103	238	258
1104	289	1411
1105	238	1765
1106	238	1125
1107	216	1995
1108	154	279
1109	238	694
1110	277	2475
1111	85	1600
1112	206	1814
1113	185	899
1114	238	1241
1115	238	2602
1116	238	3055
1117	176	1878
1118	221	2800
1119	245	906
1120	238	2236
1121	238	2992
1122	234	1806
1123	234	1191
1124	286	1915
1125	238	1277
1126	176	975
1127	295	2911
1128	238	146
1129	1	1466
1130	43	315
1131	1	1809
1132	238	528
1133	92	709
1134	176	1795
1135	176	134
1136	206	300
1137	238	2247
1138	213	1786
1139	176	1563
1140	215	1211
1141	176	2985
1142	296	2262
1143	206	273
1144	176	2712
1145	176	2166
1146	206	1021
1147	287	2875
1148	286	36
1149	164	2790
1150	176	2963
1151	206	2791
1152	282	1680
1153	238	2423
1154	216	803
1155	206	410
1156	233	579
1157	45	306
1158	160	1509
1159	287	1518
1160	185	2264
1161	287	1691
1162	84	2453
1163	71	2580
1164	185	2960
1165	259	652
1166	282	723
1167	176	1618
1168	245	2490
1169	72	773
1170	152	519
1171	287	1698
1172	251	155
1173	1	811
1174	251	1443
1175	37	135
1176	177	1214
1177	287	1559
1178	176	27
1179	238	1325
1180	261	2129
1181	238	2888
1182	238	97
1183	176	30
1184	176	2413
1185	259	2981
1186	176	554
1187	176	201
1188	92	436
1189	61	2909
1190	7	3001
1191	176	961
1192	86	976
1193	238	2041
1194	238	1676
1195	238	2273
1196	251	1701
1197	176	2519
1198	206	45
1199	187	432
1200	34	1683
1201	238	2229
1202	176	2472
1203	167	2532
1204	251	2424
1205	206	2892
1206	112	467
1207	37	621
1208	251	2189
1209	84	2635
1210	16	259
1211	238	824
1212	206	2419
1213	212	1271
1214	99	1302
1215	206	1927
1216	291	2785
1217	206	3037
1218	238	630
1219	87	928
1220	238	1092
1221	14	1801
1222	176	2105
1223	106	3060
1224	170	2547
1225	257	629
1226	176	1693
1227	73	1091
1228	2	622
1229	160	1106
1230	219	639
1231	80	900
1232	34	2629
1233	160	68
1234	206	2187
1235	238	1416
1236	238	502
1237	79	628
1238	224	762
1239	1	2683
1240	251	2528
1241	217	1340
1242	292	1834
1243	43	1861
1244	136	908
1245	2	1569
1246	92	70
1247	238	11
1248	92	1375
1249	238	1950
1250	176	1556
1251	238	2658
1252	176	1409
1253	140	863
1254	93	2149
1255	227	1572
1256	261	2501
1257	224	1558
1258	238	2616
1259	271	3081
1260	238	2817
1261	286	1094
1262	71	982
1263	59	2929
1264	206	1773
1265	295	193
1266	238	2933
1267	238	1398
1268	251	542
1269	176	1364
1270	176	1082
1271	185	1426
1272	251	1893
1273	273	1385
1274	230	771
1275	176	2395
1276	233	2203
1277	189	1356
1278	234	954
1279	238	3002
1280	238	2777
1281	258	1100
1282	168	932
1283	271	2178
1284	287	2742
1285	234	3095
1286	288	1623
1287	238	897
1288	295	2747
1289	215	1096
1290	176	2707
1291	176	269
1292	287	1372
1293	64	1712
1294	238	2079
1295	287	2763
1296	261	3017
1297	215	744
1298	238	2310
1299	238	407
1300	253	3085
1301	36	2676
1302	176	664
1303	238	1497
1304	251	2571
1305	2	1875
1306	238	2906
1307	253	3075
1308	287	1894
1309	233	2336
1310	92	1464
1311	152	137
1312	202	1734
1313	76	89
1314	275	87
1315	238	130
1316	238	169
1317	238	186
1318	261	301
1319	238	483
1320	185	747
1321	162	1012
1322	176	1026
1323	238	1172
1324	160	1331
1325	179	1821
1326	160	1880
1327	295	2053
1328	277	2476
1329	238	2739
1330	251	2850
1331	84	2866
1332	238	864
1333	238	2240
1334	238	1345
1335	238	3078
1336	216	1465
1337	238	1570
1338	176	1886
1339	182	332
1340	251	61
1341	185	1946
1342	251	1199
1343	234	176
1344	37	986
1345	176	2492
1346	185	2984
1347	269	711
1348	287	1606
1349	116	2656
1350	92	1256
1351	176	1230
1352	81	934
1353	287	2535
1354	271	2274
1355	238	706
1356	238	1039
1357	200	2638
1358	76	751
1359	251	1922
1360	92	2351
1361	288	210
1362	271	1996
1363	49	391
1364	206	3014
1365	139	2637
1366	234	209
1367	266	2121
1368	185	188
1369	56	1553
1370	64	1800
1371	216	2917
1372	92	2931
1373	185	1697
1374	234	902
1375	295	1379
1376	216	2718
1377	68	1742
1378	216	1986
1379	220	3065
1380	107	2146
1381	238	636
1382	178	1243
1383	238	2255
1384	238	1992
1385	161	3057
1386	238	2251
1387	185	2923
1388	206	2046
1389	212	1334
1390	64	2201
1391	184	335
1392	251	557
1393	87	1684
1394	71	1804
1395	259	2626
1396	287	578
1397	238	1589
1398	176	2048
1399	176	1941
1400	238	1269
1401	259	1129
1402	238	1652
1403	212	3124
1404	238	2015
1405	108	412
1406	206	1560
1407	176	1566
1408	236	1571
1409	176	2329
1410	43	1888
1411	238	2770
1412	238	536
1413	275	2632
1414	176	1725
1415	234	3063
1416	43	330
1417	2	2768
1418	92	352
1419	185	703
1420	238	1851
1421	206	2689
1422	176	596
1423	70	750
1424	238	1247
1425	238	1602
1426	100	2297
1427	86	1152
1428	176	476
1429	185	964
1430	185	2090
1431	120	106
1432	187	1344
1433	295	1436
1434	286	2160
1435	238	318
1436	123	2557
1437	187	493
1438	176	647
1439	251	1309
1440	261	1584
1441	126	2138
1442	238	547
1443	251	825
1444	185	1295
1445	206	1884
1446	144	1900
1447	285	3105
1448	44	1392
1449	176	794
1450	61	2103
1451	247	2185
1452	185	2582
1453	47	470
1454	34	179
1455	45	1617
1456	160	1719
1457	151	2577
1458	292	2182
1459	238	3031
1460	176	2796
1461	275	2198
1462	254	3073
1463	278	457
1464	296	98
1465	297	567
1466	238	1187
1467	96	1925
1468	278	1206
1469	238	1625
1470	176	3114
1471	238	1361
1472	261	1896
1473	176	1156
1474	238	1682
1475	261	307
1476	238	1105
1477	238	1238
1478	238	100
1479	238	1207
1480	254	1076
1481	216	2069
1482	251	1764
1483	279	3021
1484	176	2861
1485	238	1740
1486	247	1417
1487	278	2059
1488	238	1818
1489	58	1055
1490	64	2398
1491	238	1565
1492	238	2091
1493	238	538
1494	185	2783
1495	251	2102
1496	261	1592
1497	238	2309
1498	238	830
1499	176	2751
1500	247	1561
1501	210	2353
1502	176	1812
1503	115	1574
1504	185	438
1505	271	2010
1506	271	2007
1507	271	2008
1508	271	2009
1509	271	1048
1510	271	1062
1511	271	1063
1512	271	1064
1513	271	1069
1514	271	1065
1515	271	1066
1516	271	1067
1517	271	1068
1518	271	1231
1519	271	1234
1520	271	1235
1521	271	1232
1522	271	1233
1523	271	2272
1524	271	1290
1525	271	544
1526	271	545
1527	271	546
1528	277	2225
1529	277	2226
1530	277	2227
1531	271	913
1532	271	911
1533	271	912
1534	45	1614
1535	45	1615
1536	45	1616
1537	195	1209
1538	195	1210
1539	115	1178
1540	29	1769
1541	176	2223
1542	292	2622
1543	291	1811
1544	210	223
1545	211	224
1546	2	2237
1547	160	1047
1548	162	35
1549	166	170
1550	171	214
1551	144	240
1552	64	2500
1553	251	707
1554	263	844
1555	238	1599
1556	57	1148
1557	247	2320
1558	251	1663
1559	277	790
1560	177	1722
1561	73	2465
1562	206	341
1563	160	1
1564	160	251
1565	144	351
1566	291	353
1567	160	358
1568	160	364
1569	107	496
1570	165	516
1571	160	620
1572	6	623
1573	160	695
1574	115	710
1575	176	769
1576	114	946
1577	119	1006
1578	159	1141
1579	144	1201
1580	200	1249
1581	107	1299
1582	107	1300
1583	160	1322
1584	165	1337
1585	110	1338
1586	214	1347
1587	106	1412
1588	106	1422
1589	92	1973
1590	167	2132
1591	176	211
1592	251	1181
1593	184	2404
1594	187	2289
1595	264	2104
1596	254	795
1597	238	940
1598	238	2897
1599	238	2778
1600	238	143
1601	176	4
1602	176	939
1603	238	1997
